Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Female,All,7.3,"Detroit, MI",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Among all adults, the proportion who reported consuming five or more drinks per occasion (for men) or 4 or more drinks per occasion (for women) at least once in the previous month.",,,,4.1,12.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Male,All,27.5,"Detroit, MI",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Among all adults, the proportion who reported consuming five or more drinks per occasion (for men) or 4 or more drinks per occasion (for women) at least once in the previous month.",,,,19.8,36.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Other,19.8,"Washington, DC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,DC BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Asian/PI,14.1,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,Does not include Pacific Islander,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,American Indian/Alaska Native,28.8,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,American Indian alone,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,All,26.7,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Male,All,25.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Had binge drinking during the past 30 days (men 5+, women 4+ drinks on one occastion), age-adjusted",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Female,All,16.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Had binge drinking during the past 30 days (men 5+, women 4+ drinks on one occastion), age-adjusted",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,White,23.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Had binge drinking during the past 30 days (men 5+, women 4+ drinks on one occastion), age-adjusted",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Other,12.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Had binge drinking during the past 30 days (men 5+, women 4+ drinks on one occastion), age-adjusted",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Black,11.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Had binge drinking during the past 30 days (men 5+, women 4+ drinks on one occastion), age-adjusted",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Asian/PI,8.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Had binge drinking during the past 30 days (men 5+, women 4+ drinks on one occastion), age-adjusted",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,American Indian/Alaska Native,14.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Had binge drinking during the past 30 days (men 5+, women 4+ drinks on one occastion), age-adjusted",American Indian alone,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,All,20.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Had binge drinking during the past 30 days (men 5+, women 4+ drinks on one occastion), age-adjusted",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Multiracial,24.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Had binge drinking during the past 30 days (men 5+, women 4+ drinks on one occastion), age-adjusted",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Hispanic,17.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Had binge drinking during the past 30 days (men 5+, women 4+ drinks on one occastion), age-adjusted",,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,All,18.9,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Centers for Disease Control and Prevention, National Center for Chronic Disease Prevention and Health Promotion, Division of Population Health. BRFSS Data. 2011. [accessed 3/7/17].","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",,,,16.0,21.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,White,83.8,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 BRFSS Bexar County,,"Data includes Bexar County, TX, not just San Antonio",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Other,33.4,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 BRFSS Bexar County,,"Data includes Bexar County, TX, not just San Antonio",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Hispanic,28.2,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 BRFSS Bexar County,,"Data includes Bexar County, TX, not just San Antonio",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2011,Both,Black,26.6,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2013 BRFSS Bexar County,,"Data includes Bexar County, TX, not just San Antonio",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Other,18.9,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS) 2011. The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",Self-reported; defined as 5+ drinks for men and 4+ drinks for women; age adjusted percent,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Hispanic,20.5,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,White,32.9,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Female,All,20.7,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Male,All,33.2,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,All,14.0,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2012 NC BRFSS (Mecklenburg Sample),,,,,10.9,17.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Black,10.6,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2012 NC BRFSS (Mecklenburg Sample),,,,,4.5,16.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,White,15.8,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2012 NC BRFSS (Mecklenburg Sample),,,,,11.7,19.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Female,All,9.2,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2012 NC BRFSS (Mecklenburg Sample),,,,,6.1,12.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Male,All,18.4,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2012 NC BRFSS (Mecklenburg Sample),,,,,13.1,23.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,White,27.1,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Female,All,13.7,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Male,All,25.0,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,All,18.8,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Black,14.4,"Baltimore, MD",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC BRFSS,The three most recent years of available data are 2010-2012. Data from Baltimore City County.,"Due to changes in BRFSS sampling methodology, data from 2010 and before are not directly comparable to data from 2011 and beyond.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,All,16.1,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,11.5,20.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Black,10.3,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,2.2,18.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Hispanic,,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Other,,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,White,20.1,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,14.0,26.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Female,All,10.0,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,4.9,15.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Male,All,22.2,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,14.7,29.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,All,26.8,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Black,12.0,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,All,18.5,"Detroit, MI",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Among all adults, the proportion who reported consuming five or more drinks per occasion (for men) or 4 or more drinks per occasion (for women) at least once in the previous month.",,,,14.0,24.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Black,18.9,"Detroit, MI",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Among all adults, the proportion who reported consuming five or more drinks per occasion (for men) or 4 or more drinks per occasion (for women) at least once in the previous month.",,,,13.8,25.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Female,All,16.5,"Detroit, MI",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Among all adults, the proportion who reported consuming five or more drinks per occasion (for men) or 4 or more drinks per occasion (for women) at least once in the previous month.",,,,11.7,22.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Male,All,21.3,"Detroit, MI",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,"Among all adults, the proportion who reported consuming five or more drinks per occasion (for men) or 4 or more drinks per occasion (for women) at least once in the previous month.",,,,13.6,31.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,All,17.7,"Fort Worth (Tarrant County), TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Behavior Risk Factors: Selected Metropolitan Area Risk Trends (SMART), Centers for Disease Control and Prevention",,Tarrant County (not just Fort Worth),,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,All,15.2,"Houston, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Texas Behavioral Risk Factor Surveillance Systems, Statewide BRFSS survey, 2013. Prepared by: Texas BRFSS, Center for Health Statisitics, Texas Department of State Health Services at May 12, 2015.","Binge drinking from Houston-Baytown-Sugarland MSA. Data were displayed with Percent (CI 95%, n), All reported rates were weighted for Texas demographics and the probability of selection. Binge drinking=More than 5 drinks on one occation for men or 4 drinks on one occasion for women.","Includes all of Houston-Baytown-Sugarland MSA, not just Houston",,,12.6,18.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Black,10.6,"Houston, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Texas Behavioral Risk Factor Surveillance Systems, Statewide BRFSS survey, 2013. Prepared by: Texas BRFSS, Center for Health Statisitics, Texas Department of State Health Services at May 12, 2015.","Binge drinking from Houston-Baytown-Sugarland MSA. Data were displayed with Percent (CI 95%, n), All reported rates were weighted for Texas demographics and the probability of selection. Binge drinking=More than 5 drinks on one occation for men or 4 drinks on one occasion for women.","Includes all of Houston-Baytown-Sugarland MSA, not just Houston",,,5.4,19.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Hispanic,19.3,"Houston, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Texas Behavioral Risk Factor Surveillance Systems, Statewide BRFSS survey, 2013. Prepared by: Texas BRFSS, Center for Health Statisitics, Texas Department of State Health Services at May 12, 2015.","Binge drinking from Houston-Baytown-Sugarland MSA. Data were displayed with Percent (CI 95%, n), All reported rates were weighted for Texas demographics and the probability of selection. Binge drinking=More than 5 drinks on one occation for men or 4 drinks on one occasion for women.","Includes all of Houston-Baytown-Sugarland MSA, not just Houston",,,14.2,25.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Other,10.8,"Houston, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Texas Behavioral Risk Factor Surveillance Systems, Statewide BRFSS survey, 2013. Prepared by: Texas BRFSS, Center for Health Statisitics, Texas Department of State Health Services at May 12, 2015.","Binge drinking from Houston-Baytown-Sugarland MSA. Data were displayed with Percent (CI 95%, n), All reported rates were weighted for Texas demographics and the probability of selection. Binge drinking=More than 5 drinks on one occation for men or 4 drinks on one occasion for women.","Includes all of Houston-Baytown-Sugarland MSA, not just Houston",,,4.4,24.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,White,14.8,"Houston, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Texas Behavioral Risk Factor Surveillance Systems, Statewide BRFSS survey, 2013. Prepared by: Texas BRFSS, Center for Health Statisitics, Texas Department of State Health Services at May 12, 2015.","Binge drinking from Houston-Baytown-Sugarland MSA. Data were displayed with Percent (CI 95%, n), All reported rates were weighted for Texas demographics and the probability of selection. Binge drinking=More than 5 drinks on one occation for men or 4 drinks on one occasion for women.","Includes all of Houston-Baytown-Sugarland MSA, not just Houston",,,11.4,19.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Female,All,8.7,"Houston, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Texas Behavioral Risk Factor Surveillance Systems, Statewide BRFSS survey, 2013. Prepared by: Texas BRFSS, Center for Health Statisitics, Texas Department of State Health Services at May 12, 2015.","Binge drinking from Houston-Baytown-Sugarland MSA. Data were displayed with Percent (CI 95%, n), All reported rates were weighted for Texas demographics and the probability of selection. Binge drinking=More than 5 drinks on one occation for men or 4 drinks on one occasion for women.","Includes all of Houston-Baytown-Sugarland MSA, not just Houston",,,6.2,12.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Male,All,22.2,"Houston, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Texas Behavioral Risk Factor Surveillance Systems, Statewide BRFSS survey, 2013. Prepared by: Texas BRFSS, Center for Health Statisitics, Texas Department of State Health Services at May 12, 2015.","Binge drinking from Houston-Baytown-Sugarland MSA. Data were displayed with Percent (CI 95%, n), All reported rates were weighted for Texas demographics and the probability of selection. Binge drinking=More than 5 drinks on one occation for men or 4 drinks on one occasion for women.","Includes all of Houston-Baytown-Sugarland MSA, not just Houston",,,17.8,27.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,All,13.8,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,11.9,15.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Asian/PI,12.4,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,5.1,19.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Black,10.5,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,5.1,15.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Hispanic,16.7,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,12.2,21.3
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Other,17.5,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,5.6,29.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,White,13.2,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,10.8,15.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Female,All,8.5,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,6.6,10.3
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Male,All,19.3,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,15.9,22.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,All,19.0,"Philadelphia, PA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS ,,,,,16.0,21.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,All,7.2,"Minneapolis, MN",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS SMART County Prevalence Data,"Male Respondents who reported having more than 2 drinks per day, or female Respondents who reported having more than 1 drink per day.  Variable (2012, 2011): _RFDRHV4; Variable (2010): _RFDRHV3",County data was used as a proxy (Hennepin County),,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,All,19.6,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS) 2011. The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",Self-reported; defined as 5+ drinks for men and 4+ drinks for women; age adjusted percent,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Asian/PI,12.1,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS) 2011. The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",Self-reported; defined as 5+ drinks for men and 4+ drinks for women; age adjusted percent,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Black,14.1,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS) 2011. The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",Self-reported; defined as 5+ drinks for men and 4+ drinks for women; age adjusted percent,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,Hispanic,21.5,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS) 2011. The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",Self-reported; defined as 5+ drinks for men and 4+ drinks for women; age adjusted percent,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Both,White,25.3,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS) 2011. The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",Self-reported; defined as 5+ drinks for men and 4+ drinks for women; age adjusted percent,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Female,All,14.0,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS) 2011. The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",Self-reported; defined as 5+ drinks for men and 4+ drinks for women; age adjusted percent,,,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2012,Male,All,25.8,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS) 2011. The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",Self-reported; defined as 5+ drinks for men and 4+ drinks for women; age adjusted percent,,,,,
